Unnamed: 0.1,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,ram_gb,storage_gb,cpu_score,gpu_class,touchscreen,weight_kg
654,Asus,Vivobook 16X 2023 K3605ZC-MBN752WS Laptop,16894080,73,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,1TB,SSD,4GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,1.0,85,4,0,2.0
657,Dell,Inspiron 3520 IN3520KTMFJS1ORGR1 Laptop,7004160,69,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
658,Dell,Inspiron 3530 IN3530RW8JY001ORS1 Laptop,12285888,69,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,1TB,SSD,Intel Integrated Integrated Intel® UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,1.0,75,2,0,2.0
659,Asus,TUF Gaming F15 90NR0GW1-M00F00 Laptop,17470080,64,12th Gen Intel Core i7 12700H ,20 Threads,16GB,DDR5,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11  OS,1,16.0,1.0,85,4,0,2.0
660,Asus,Vivobook 16X 2023 K3605ZV-MBN741WS Laptop,20158080,72,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,512GB,SSD,NVIDIA Geforce RTX,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,85,4,0,2.0
661,HP,240 G9 ALC 7M658PA Laptop,12441600,69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Integrated,14.0,1366.0,768.0,DOS OS,1,8.0,512.0,75,1,0,2.0
662,Asus,Chromebook CX1400FKA-EC0158 Laptop,5374080,69,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,64GB,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Chrome OS,1,4.0,64.0,40,2,0,2.0
663,Asus,Chromebook CX1400CKA-EK0335 Laptop,2878080,69,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,128GB,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Chrome OS,1,4.0,128.0,40,2,0,2.0
664,Asus,Chromebook CX1500CKA-EJ0241 Laptop,4414080,69,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,64GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Chrome OS,1,4.0,64.0,40,2,0,2.0
665,Asus,Chromebook CX1500CKA-EJ0277 Laptop,4606080,69,Intel Celeron N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,128GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Chrome OS,1,4.0,128.0,40,2,0,2.0
666,HP,250 G9 7M659PA Laptop,8236800,62,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated,15.6,1366.0,768.0,Windows 11 OS,1,8.0,512.0,60,1,0,2.0
667,Gigabyte,G6 KF Gaming Laptop,24960000,71,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920.0,1200.0,Windows 11 OS,0,16.0,512.0,85,4,0,2.0
668,Gigabyte,G5 KF-E3IN313SH Laptop,18238080,73,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920.0,1080.0,Windows 11 OS,2,8.0,512.0,75,4,0,2.0
669,Lenovo,ThinkBook 15 G3 ACL 21A4003KUS Laptop,11134080,60,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,85,3,0,2.0
670,Asus,Vivobook 16X K3605ZU-MBN742WS Laptop,20010624,72,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA Geforce RTX 4050,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,85,4,0,2.0
671,Fujitsu,UH-X ‎4ZR1M37246 Laptop,13438080,65,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,2,16.0,512.0,75,2,0,2.0
672,Lenovo,IdeaPad Slim 5 82XE0072IN Laptop,12286080,69,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Integrated SoC,14.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,85,1,0,2.0
673,Lenovo,IdeaPad Slim 3 82XQ008UIN Laptop,9406080,69,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
674,Lenovo,V15 G3 IAP 82TT004VIH Laptop,9022080,69,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,DOS OS,1,8.0,512.0,75,2,0,2.0
675,HP,Victus 15-fb1015AX Gaming Laptop,10750080,69,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,4,0,2.0
676,Asus,Vivobook 16X K3605ZC-MBN542WS Laptop,12862080,65,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,75,4,0,2.0
677,Asus,Vivobook 16X K3605ZU-MBN541WS Laptop,17278080,70,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,6GB NVIDIA Geforce RTX 4050,16.0,1920.0,1200.0,Windows 11 OS,1,16.0,512.0,75,4,0,2.0
678,MSI,Thin GF63 11UC-1291IN Gaming Laptop,12094080,71,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,2,16.0,512.0,75,4,0,2.0
679,MSI,Katana 15 B12UDXK-1004IN Gaming Laptop,16510080,76,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,2,16.0,512.0,85,4,0,2.0
680,Lenovo,Thinkpad E15 21E6S0W700 Laptop,9043200,65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,2,0,2.0
681,Lenovo,Yoga 7 82YM004UIN Laptop,17662080,76,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,AMD Radeon Graphics,14.0,2880.0,1800.0,Windows 11 OS,1,16.0,512.0,85,3,0,2.0
682,Asus,Vivobook Pro 15 OLED M6500QC-LK541WS Laptop,13054080,62,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050 GPU,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,75,4,0,2.0
683,Acer,TMP214-41-G3 UN.VSQSI.007 Notebook,7678080,63,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,14.0,1366.0,768.0,Windows 11 OS,1,16.0,512.0,75,3,0,2.0
684,Acer,TMP214-41-G3 UN.VSQSI.006 Notebook,7102080,60,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,14.0,1366.0,768.0,Windows 11 OS,1,8.0,512.0,75,3,0,2.0
685,Asus,Vivobook Go 14 2023 E1404FA-NK327WS Laptop,6526080,69,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,60,3,0,2.0
686,Lenovo,V14 82KAA055IH Laptop,8409600,69,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics ,14.0,1366.0,768.0,DOS OS,1,8.0,512.0,75,2,0,2.0
687,HP,Omen 16-xf0043AX Gaming Laptop,34462080,78,7th Gen AMD Ryzen 9 7940HS,"Octa Core, 16 Threads",32GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,16.1,2560.0,1440.0,Windows 11 OS,1,32.0,1.0,95,4,0,2.0
688,Gigabyte,Aero 14 OLED BMF Laptop,31678080,70,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,LPDDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,14.0,2880.0,1800.0,Windows 11 OS,2,16.0,1.0,85,4,0,2.0
689,Dell,Inspiron 5430 IN54308DXWP001ORS1 Laptop,16318080,69,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,16.0,1.0,85,2,0,2.0
690,Fujitsu,UH-X ‎4ZR1L73352 2-in-1 Laptop,20158080,76,13th Gen Intel Core i7 1360p,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1200.0,Windows 11 OS,2,16.0,1.0,85,2,0,2.0
691,Asus,TUF Gaming F15 FX506HF-HN076W Gaming Laptop,11134080,69,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,75,4,0,2.0
692,HP,Victus 15-fb1018AX Gaming Laptop,11326080,63,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,75,4,0,2.0
